,LV1,LV2,LV3,LV4,LV5
2.00_1.00_1.00_NH3+_C:,0.06755076677349621,-0.1030283532539693,-0.15892349891343388,-0.20856375250595308,-0.25492620685611295
3.00_-4.00_-1.00_NH3+_C:,-0.1834305410303543,-0.22218851028422046,-0.23749786637588563,-0.26061671729960245,-0.3064073368226833
4.00_-1.00_1.00_NH3+_C:,0.10974238500845891,0.23518893792761056,0.29768199851017796,0.3338329013850856,0.31594918581684106
5.00_-5.00_-2.00_NH3+_C:,-0.26466553787312774,-0.33707503155953406,-0.3531063539960214,-0.3155376808161728,-0.30240852617604
5.00_0.00_1.00_NH3+_C:,-0.08629245230674384,-0.27324882719896787,-0.281609010688379,-0.28501836559651583,-0.27325535588848143
-3.00_-3.00_0.00_NH3+_LJ:,0.20101215646983153,0.42040677717380115,0.4536337399362618,0.41829230939078255,0.41703958746529096
-1.00_-3.00_1.00_NH3+_LJ:,-0.14661354462480056,-0.22374801184464319,-0.1684351397161348,-0.17426922896353236,-0.16340320953791587
2.00_-5.00_-1.00_NH3+_LJ:,0.23729714906999474,0.42834428741977976,0.3972158355838381,0.40712141107781213,0.4042962452885891
4.00_0.00_-4.00_NH3+_LJ:,0.09386407764844618,0.11241729290953403,0.1594459458568508,0.19830557329083143,0.18389960748730852
5.00_1.00_-4.00_NH3+_LJ:,0.1380740030638063,0.07679827346108706,0.05549049839467652,0.08828303040549104,0.11757748669963576
8.00_-5.00_2.00_NH3+_LJ:,-0.18584548947237878,-0.2088964395724396,-0.25089109843684454,-0.27959300167988393,-0.31077789013362667
8.00_-4.00_-2.00_NH3+_LJ:,-0.16820598719645996,-0.09680109531685437,-0.1121183380665057,-0.10860002705831165,-0.09081664742716118
