;-5.00_0.00_-1.00_NH3+_C:;2.00_-1.00_4.00_NH3+_LJ:;4.00_-3.00_-1.00_NH3+_LJ:;5.00_-8.00_-3.00_NH3+_LJ:;5.00_-1.00_1.00_NH3+_LJ:;5.00_0.00_-1.00_NH3+_LJ:;5.00_3.00_3.00_NH3+_LJ:;6.00_-2.00_-1.00_NH3+_LJ:;6.00_-1.00_5.00_NH3+_LJ:;6.00_0.00_2.00_NH3+_LJ:;7.00_-2.00_-2.00_NH3+_LJ:;8.00_-7.00_-4.00_NH3+_LJ:;9.00_-3.00_-2.00_NH3+_LJ:
DFT_K001_;-87.44805893110282;-3.2337309495672444;142.88172204674555;-0.3357172086033143;143.4157697810616;97.1352712264542;-1.1380111335780276;132.26280683193318;-0.5712508627480982;131.07465942931876;-1.9251503835659087;-0.0968869551311482;-0.27743985604814464
DFT_K002_;-60.60003098333688;-3.0637834573155893;143.3405624464751;-0.1717544690482844;144.78127140220496;133.23697898757732;-1.0787510380370418;138.74454578429803;-0.47203005265703;118.23972613175964;-0.548839472153576;-0.0658303181647331;-0.3288716823368593
DFT_K003_;-48.58851027499155;-3.163387290515228;143.1550066790983;-0.2344948619019904;144.9671730327026;132.84811137053205;-1.1129891062288648;143.8372946639145;-0.5749428870951184;125.63929556826261;20.532145775591736;-0.110395735577535;-0.771927548822072
DFT_K004_;-81.4146099051921;-3.174597126611733;141.75915102205988;-0.1092025354710865;147.78388160294307;133.38560417558398;-1.3687747153392893;133.6057235854876;-0.5938889361853174;137.73646252257038;-1.632901858713983;-0.04678725129128;-0.2288054500196492
DFT_K005_;-104.39770697712162;-3.5658930876040578;141.79342606331883;-0.1134494802687753;147.829543347064;133.36997460287475;-1.64579824647612;133.29328895589555;-1.1623645868092674;146.47205225782093;-1.942860989925892;-0.0508042629068709;-0.2864003430685134
DFT_K006_;-82.1151312105422;-3.232006952493691;144.5930330273177;-0.4355694909206918;140.9266396731906;137.48415517742237;-1.2747965130439969;149.78511049696974;-1.68050674255442;136.09151514853596;133.20219233816545;-0.2097780973456615;12.70443001872059
DFT_K007_;-64.82783927062056;-3.2511006466946264;143.40361615970903;-1.0097571084093235;145.88387453199454;132.16491910439387;-1.11479334243367;143.93700374710116;-0.5951788760974012;127.51419653842542;20.877366559944704;-0.1981080403986578;-0.8263950859440067
DFT_K008_;-75.02308212944298;-3.216582431046702;142.7914713549675;-0.4191805029445896;145.41451290604945;132.4081614536361;-1.122578650943792;144.31302593448606;-0.5959041454086272;127.93441442593854;22.83820455848912;-0.1412970343533403;-0.816734064312974
DFT_K009_;-128.0334867060434;-3.559942227665017;145.18147271108873;-0.1960747528144738;146.4498986159092;134.6279049357396;-1.6316699171185776;167.44664276598445;-1.190413476442745;145.11633087549177;131.27534148339282;-0.1031453672154698;-0.8361828277797104
DFT_K010_;-98.77949969097034;-3.2804603448298155;144.36312120564784;-0.1878217223854939;147.22256649686815;134.03948884512306;-1.416134686330386;165.23693568446345;-0.7298543307940557;137.40072932537313;130.2697010958106;-0.0971596985011819;-0.7688075446901247
