,LV1
8.00_19.00_5.00_NH3+_C:,-0.17141577415195638
12.00_26.00_3.00_NH3+_C:,0.1131575185823934
13.00_20.00_3.00_NH3+_C:,-0.12451978278552772
14.00_20.00_1.00_NH3+_C:,0.14049970329285488
14.00_20.00_2.00_NH3+_C:,0.18686127031244568
17.00_22.00_0.00_NH3+_C:,0.1308152154194589
20.00_19.00_-1.00_NH3+_C:,0.11876560034688355
20.00_21.00_-3.00_NH3+_C:,-0.1294013395072712
21.00_23.00_-1.00_NH3+_C:,-0.12766380530996285
9.00_24.00_6.00_NH3+_LJ:,0.12668240066539307
11.00_22.00_1.00_NH3+_LJ:,-0.1290912801041599
20.00_18.00_1.00_NH3+_LJ:,-0.19051977966792372
20.00_22.00_3.00_NH3+_LJ:,-0.11585916819408494
21.00_17.00_-1.00_NH3+_LJ:,-0.13577185107910578
22.00_19.00_-4.00_NH3+_LJ:,-0.1749274935613474
23.00_19.00_-1.00_NH3+_LJ:,0.13275897416001106
