ID,Smiles,pIC50,
K004,n1c(cc(nc1)C(=O)O)c1cccc(c1)F,9523,ok
K099,n1c(c(c(nc1)C(=O)O)O)c1ccc(c(c1)Cl)Cl,6854,ok
K054,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)Cl)OC1CCC1,7921,ok
K085,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)Cl)OCC1CC1,7.31,ok
K052,n1c(cc(nc1)C(=O)O)c1ccc(cc1)Cl,7959,ok
K086,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)Cl)OC1CCCC1,7244,ok
K045,n1c(c(c(nc1)C(=O)O)F)c1ccc(c(c1)Cl)Cl,8222,
K006,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)Cl)OC1CC1,9301,
K009,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)Cl)C,9155,
K002,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)F)F,9699,
K020,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)Cl)OC1COC1,8699,
K102,n1c(c(c(nc1)C(=O)O)N)c1ccc(c(c1)Cl)Cl,6585,
K005,n1c(cc(nc1)C(=O)O)c1cccc(c1)Cl,9301,
K001,n1c(cc(nc1)C(=O)O)c1cccc(c1F)Cl,9699,
K081,n1c(cc(nc1)C(=O)O)c1ccc(cc1F)Cl,7.42,
K008,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)Cl)Cl,9222,
K012,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)Cl)OC,8921,
K065,n1c(cc(nc1)C(=O)O)c1cc(cc(c1)Cl)Cl,7721,
K080,n1c(cc(nc1)C(=O)O)c1ccccc1,7.42,
K063,n1c(cc(nc1)C(=O)O)c1cccc(c1)C,7.77,
K075,n1c(c(c(nc1)C(=O)O)COC)c1ccc(c(c1)Cl)Cl,7481,
K053,n1c(cc(nc1C)C(=O)O)c1ccc(c(c1)Cl)Cl,7921,
K092,O(CCN1CCOCC1)c1ccc(c2ncnc(c2)C(=O)O)cc1Cl,7081,
K105,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)Cl)OC1CCCCC1,6367,
K083,n1c(c(c(nc1)C(=O)O)OC)c1ccc(c(c1)Cl)Cl,7398,
K007,c1(c(ccc(c1)c1cc(ncn1)C(=O)O)Cl)OC1CC1,9301,
K011,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)Cl)F,9046,
K022,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)Cl)OC(F)(F)F,8678,
K041,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)Cl)C(F)(F)F,8301,
K044,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)Cl)OC(C)C,8222,
K051,n1c(c(c(nc1)C(=O)O)C)c1ccc(c(c1)Cl)Cl,8,
K104,N1(c2ccc(c3ncnc(c3)C(=O)O)cc2Cl)CCCC1,6456,
K111,n1c(cc(nc1)C(=O)O)c1cccnc1,6004,
K010,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)F)C,9046,
K089,n1c(cc(nc1)C(=O)O)c1ccc(cc1F)F,7119,
K003,n1c(cc(nc1)C(=O)O)c1ccc(c(c1)F)Cl,9523,
K124,n1c(cc(nc1)C#N)c1ccc(c(c1)Cl)Cl,5398,
K014,n1c(cc(nc1)C(=O)O)c1cc2c(cc1)occ2,8824,
